CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0109,"Surry Hills, Central Sydney campus",SN_P_0031,Torrens University Australia,17-51 Foveaux Street,New South Wales,,Surry Hills,,2010,Sydney,,Australia,NO,https://www.torrens.edu.au/campuses/sydney/ultimo-sydney,"Ultimo is conveniently located near Sydney hotspots, including Darling Harbour and Chinatown. Getting to our campus is easy: Broadway Shopping Centre bus stop is a two-minute walk away, Central Station is 15-minute walk and Central and Glebe light rail stops are a 15-20-minute walk away. If driving, street parking is available and there are two secure carparks nearby.","-33.88414, 151.2094",03389E
SN_L_0110,Sunshine Campus,SN_P_0011,Victoria University,"438-460 Ballarat Road, , 3020, VIC, AU",Victoria,,Sunshine North,,3020,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.777650, 144.836750",00124K
SN_L_0111,VU City Campus,SN_P_0011,Victoria University,"370 Little Lonsdale Street (VU City Tower), and 295 Queen Street",Victoria,,Melbourne,,3000,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.812110, 144.958590",00124K
SN_L_0112,The University of Western Australia,,University of Western Australia College,35 Stirling Highway,Western Australia,,Perth,,6009,Perth,,Australia,YES,https://www.uwa.edu.au/study/why-choose-uwa/campuses,"On the banks of the Swan River, just minutes from the city of Perth, sits our main campus. With additional facilities in Claremont and Nedlands, it's home to more than 22,000 students and 3500 staff.

Featuring cafes, libraries, sporting facilities, galleries, shops and many other dedicated student amenities, the Perth campus is more like a small town.

Open courtyards and expansive green spaces make studying, catching up with friends and relaxing outdoors an invigorating experience.

We provide an ideal learning environment, with modern teaching and research facilities, lecture and performance theatres, tutorial spaces, studios and laboratories.","-31.977680, 115.810387",00126G
SN_L_0113,The University of Western Australia,,The University of Western Australia (UWA) - INTO,35 Stirling Highway,Western Australia,,Perth,,6009,Perth,,Australia,YES,https://www.uwa.edu.au/study/why-choose-uwa/campuses,"On the banks of the Swan River, just minutes from the city of Perth, sits our main campus. With additional facilities in Claremont and Nedlands, it's home to more than 22,000 students and 3500 staff.

Featuring cafes, libraries, sporting facilities, galleries, shops and many other dedicated student amenities, the Perth campus is more like a small town.

Open courtyards and expansive green spaces make studying, catching up with friends and relaxing outdoors an invigorating experience.

We provide an ideal learning environment, with modern teaching and research facilities, lecture and performance theatres, tutorial spaces, studios and laboratories.","-31.9776666, 115.8104007",00126G
SN_L_0114,ECA-HE-Online,SN_P_0030,Asia Pacific International College (APIC),Online,,,,,,,,Australia,NO,https://www.professionalyear.info/wp-content/uploads/2019/07/PY-Handbook.pdf,NA,,03048D
SN_L_0115,ECA-HE-Sydney (Paramatta),SN_P_0030,Asia Pacific International College (APIC)," Level 6, 1-3 Fitzwilliam Street",,,,,,,,Australia,NO,https://www.professionalyear.info/wp-content/uploads/2019/07/PY-Handbook.pdf,NA,,03048D
SN_L_0116,ECA-HE-Melbourne,SN_P_0030,Asia Pacific International College (APIC),655 Collins St,,,,,,,,Australia,NO,https://www.professionalyear.info/wp-content/uploads/2019/07/PY-Handbook.pdf,NA,,03048D
SN_L_0117,ECA-HE-Brisbane,SN_P_0030,Asia Pacific International College (APIC),269 Wickham Street,,,,,,,,Australia,NO,https://www.professionalyear.info/wp-content/uploads/2019/07/PY-Handbook.pdf,NA,,03048D
SN_L_0118,ECAC-Sydney,SN_P_0029,ECA College,"Level 4, 1-3 Fitzwilliam Street",,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0119,ECAC-Melbourne,SN_P_0029,ECA College,655 Collins Street,,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0120,ECAC-Brisbane,SN_P_0029,ECA College, 269 Wickham Street,,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0121,ELSIS-Adelaide,,ELSIS,"Level 10,182 Victoria Square",,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0122,ELSIS-Sydney,,ELSIS,"160 Sussex St, Level 1",,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0123,ELSIS-Melbourne,,ELSIS,"655 Collins St, Upper Ground, Levels 2 & 3",,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0124,ELSIS-Brisbane,,ELSIS,"Ground Level & Level 3, 269 Wickham St Fortitude Valley",,,,,,,,Australia,NO,https://www.eca.edu.au/living-in-brisbane/,NA,,02644C
SN_L_0125,Ballarat - Admin Campus,SN_P_0004,Federation University,107 Lydiard St S,Victoria,,Ballarat,,,,,Australia,,,,,00103D
SN_L_0126,Mt Helen - ATMC support,SN_P_0004,Federation University,University Drive,,,,,,,,Australia,,,,,00103D
SN_L_0127,Melbourne City Campus,SN_P_0004,Federation University,470 Bourke Street,Victoria,,Melbourne,,,,,Australia,,,,,00103D
SN_L_0128,Navitas Brisbane,SN_P_0004,Federation University,410 Ann Street,Queensland,,Brisbane,,,,,Australia,,,,,00103D
SN_L_0129,Ballarat - SMB,SN_P_0004,Federation University,107 Lydiard St S,Victoria,,Ballarat,,,,,Australia,,,,,00103D
SN_L_0130,Wimmera - Horsham,SN_P_0004,Federation University,Baillie St ,,,,,,,,Australia,,,,,00103D
SN_L_0131,ATMC Sydney Druitt St,SN_P_0004,Federation University,432 Druitt Street,New South Wales,,Sydney,,,,,Australia,,,,,00103D
SN_L_0132,ATMC Melbourne Collins St,SN_P_0004,Federation University,104 Collins Street,Victoria,,Melbourne,,,,,Australia,,,,,00103D
SN_L_0133,HUST-Federation IT Institute,SN_P_0004,Federation University,,Victoria,,Ballarat,,,,,Australia,,,,,00103D
SN_L_0134,ATMC Sydney George St,SN_P_0004,Federation University,Level 9 540 George Street,New South Wales,,Sydney,,,,,Australia,,,,,00103D
SN_L_0135,MIT Sydney,SN_P_0004,Federation University,154 Sussex Street,New South Wales,,Sydney,,,,,Australia,,,,,00103D
SN_L_0136,MIT Melbourne,SN_P_0004,Federation University,284-294 La Trobe Street,Victoria,,Melbourne,,,,,Australia,,,,,00103D
SN_L_0137,ATMC Melbourne Bourke Street,SN_P_0004,Federation University,470 Bourke Street,Victoria,,Melbourne,,,,,Australia,,,,,00103D
SN_L_0138,IIBIT Sydney,SN_P_0004,Federation University,"Level 4, 841 George Street",New South Wales,,Sydney,,,,,Australia,,,,,00103D
SN_L_0139,IIBIT Adelaide,SN_P_0004,Federation University,"Level 6, 127 Rundle Mall",South Australia,,Adelaide,,,,,Australia,,,,,00103D
SN_L_0140,Ballarat - Camp Street,SN_P_0004,Federation University,Camp Street,Victoria,,Ballarat,,,,,Australia,,,,,00103D
